"","Champion","Games Won","Total Games","Win Rate"
"1","Aatrox",142,300,0.473333333333333
"5","Renekton",172,313,0.549520766773163
"9","Ornn",218,418,0.521531100478469
"13","Mordekaiser",82,183,0.448087431693989
"17","Camille",51,98,0.520408163265306
"21","Kennen",62,122,0.508196721311475
"25","Fiora",7,9,0.777777777777778
"29","Sett",189,371,0.509433962264151
"33","Gangplank",65,125,0.52
"37","Soraka",6,10,0.6
"41","Rumble",59,122,0.483606557377049
"45","Chogath",6,9,0.666666666666667
"49","Illaoi",3,8,0.375
"53","Lucian",22,60,0.366666666666667
"57","Akali",40,66,0.606060606060606
"61","Gnar",16,34,0.470588235294118
"65","Irelia",16,31,0.516129032258065
"69","Vladimir",5,5,1
"73","Sylas",79,162,0.487654320987654
"77","Maokai",21,40,0.525
"81","Jayce",59,115,0.51304347826087
"85","Karma",53,125,0.424
"89","MonkeyKing",80,153,0.522875816993464
"93","Jax",12,18,0.666666666666667
"97","Quinn",7,11,0.636363636363636
"101","Kayle",13,19,0.684210526315789
"105","Volibear",95,205,0.463414634146341
"109","Shen",9,15,0.6
"113","Sion",5,10,0.5
"117","Qiyana",18,39,0.461538461538462
"121","Gragas",55,105,0.523809523809524
"125","JarvanIV",125,251,0.49800796812749
"129","RekSai",79,153,0.516339869281046
"133","Olaf",108,212,0.509433962264151
"137","Elise",40,89,0.449438202247191
"141","LeeSin",192,391,0.491048593350384
"145","Nidalee",54,104,0.519230769230769
"149","Trundle",172,324,0.530864197530864
"153","Kindred",30,51,0.588235294117647
"157","Karthus",8,14,0.571428571428571
"161","Sejuani",56,116,0.482758620689655
"165","Pantheon",29,55,0.527272727272727
"169","Ekko",31,64,0.484375
"173","Graves",100,193,0.518134715025907
"177","Khazix",7,9,0.777777777777778
"181","Lillia",14,20,0.7
"185","Hecarim",4,5,0.8
"189","Orianna",80,158,0.506329113924051
"193","Zoe",163,319,0.510971786833856
"197","Leblanc",104,213,0.488262910798122
"201","Cassiopeia",21,56,0.375
"205","Ryze",9,24,0.375
"209","Diana",6,11,0.545454545454545
"213","Azir",170,326,0.521472392638037
"217","Syndra",127,234,0.542735042735043
"221","Viktor",10,24,0.416666666666667
"225","Galio",71,140,0.507142857142857
"229","Corki",54,106,0.509433962264151
"233","Zilean",3,5,0.6
"237","Lissandra",14,26,0.538461538461538
"241","Neeko",9,13,0.692307692307692
"245","Kassadin",25,40,0.625
"249","TwistedFate",92,147,0.625850340136054
"253","Senna",92,167,0.550898203592814
"257","Varus",126,233,0.540772532188841
"261","Aphelios",262,453,0.578366445916115
"265","MissFortune",149,338,0.440828402366864
"269","Kaisa",33,92,0.358695652173913
"273","Xayah",33,56,0.589285714285714
"277","Kalista",119,234,0.508547008547009
"281","Ezreal",168,340,0.494117647058824
"285","Ashe",157,298,0.526845637583893
"289","Caitlyn",41,75,0.546666666666667
"293","Jhin",21,50,0.42
"297","Braum",122,242,0.504132231404959
"301","Leona",119,244,0.487704918032787
"305","Thresh",156,302,0.516556291390728
"309","Nautilus",238,477,0.49895178197065
"313","Rakan",68,115,0.591304347826087
"317","Morgana",21,39,0.538461538461538
"321","TahmKench",113,205,0.551219512195122
"325","Blitzcrank",24,45,0.533333333333333
"329","Taric",71,135,0.525925925925926
"333","Yuumi",43,104,0.413461538461538
"337","Alistar",15,25,0.6
"341","Bard",103,186,0.553763440860215
"345","Lulu",6,12,0.5
"349","Lux",16,29,0.551724137931034
